"participant_id","participant.code","participant.label","participant._is_bot","participant._index_in_pages","participant._max_page_index","participant._current_app_name","participant._current_page_name","participant.time_started_utc","final_payoff","treatment_assigned","selected_round","participant.stopped_at","session_code","questionnaire.1.player.id_in_group","questionnaire.1.player.payoff","questionnaire.1.player.q1_support","questionnaire.1.player.q1_pressure","questionnaire.1.player.q1_convincing","questionnaire.1.player.q1_too_extreme","questionnaire.1.player.q1_no_earnings_effect","questionnaire.1.player.q1_reciprocate","questionnaire.1.player.q1_autonomy","questionnaire.1.player.q1_motivation_other","questionnaire.1.player.q2_activism_choice","questionnaire.1.player.q3_personal_cost","questionnaire.1.player.q4_cost_to_others","questionnaire.1.player.q5_extremity","questionnaire.1.player.q6_legitimacy","questionnaire.1.player.q7_social_id","questionnaire.1.player.q8_compassion","questionnaire.1.player.q8_sympathy","questionnaire.1.player.q8_annoyance","questionnaire.1.group.id_in_subsession","questionnaire.1.subsession.round_number","pct_complete","session_num","seat_num","Age_Years","Nationality","Gender","Field_of_Study","Year_of_Study_Semester","Degree_Programme","Work_Experience","Highest_Education_Level","Employment","Monthly_Disposable_Income_EUR","Political_Orientation_0_10","General_Trust_0_10","Risk_Willingness_0_10","Charitable_Donations","app_round","id_in_group","effort_score","wage","contribution","actual_effort_time","player.chose_activism","round_payoff","player.seat_number","group_raw_id","num_activists","num_roadblockers","round_treatment","period","app_round_2","group_id","participant_seat","is_treatment_round","condition","activism_rate","chose_activism","relative_contribution","norm_wage","norm_payoff","added_wage","group_mean_contribution","group_total_contribution","group_size","others_contribution","total_wage","welfare","norm_welfare","welfare_fullcoop","n_activists","n_freeriders","efficiency","NegDev","PosDev","others_contribution_lag","NegDev_lag","PosDev_lag","NegDev_lag_full","PosDev_lag_full"
3,"0m90edei",27,0,142,143,"questionnaire","FinalPayoff","2026-06-09 13:35:27.016465",0,"roadblock",NA,NA,"tdmddbpq",3,0,0,0,0,0,0,0,1,NA,"Petition (0 cost to you)",2,3,2,3,2,3,3,3,1,1,77.9411764705882,2,27,22,"German","Man","WISO Business Information Systems","5-6","BSc","1-2 years","Secondary school","In education studying","500",6,7,4,"No",11,2,11,110,1,40,0,117.4,NA,3,1,1,"roadblock",11,4,"tdmddbpq_3","27_2",1,"roadblock",25,1,0.909090909090909,2.75,2.935,7.40000000000001,5.25,21,4,6.66666666666667,430,442.6,11.065,688,4,1,64.3313953488372,4.25,0,8.33333333333333,5.5,0,5.5,0
3,"0m90edei",27,0,142,143,"questionnaire","FinalPayoff","2026-06-09 13:35:27.016465",0,"roadblock",NA,NA,"tdmddbpq",3,0,0,0,0,0,0,0,1,NA,"Petition (0 cost to you)",2,3,2,3,2,3,3,3,1,1,77.9411764705882,2,27,22,"German","Man","WISO Business Information Systems","5-6","BSc","1-2 years","Secondary school","In education studying","500",6,7,4,"No",12,2,11,110,1,40,0,115.4,NA,3,1,1,"roadblock",12,5,"tdmddbpq_3","27_2",1,"roadblock",25,1,0.909090909090909,2.75,2.885,5.40000000000001,4,16,4,5,400,409.6,10.24,640,4,1,64,3,0,6.66666666666667,4.25,0,4.25,0
3,"0m90edei",27,0,142,143,"questionnaire","FinalPayoff","2026-06-09 13:35:27.016465",0,"roadblock",NA,NA,"tdmddbpq",3,0,0,0,0,0,0,0,1,NA,"Petition (0 cost to you)",2,3,2,3,2,3,3,3,1,1,77.9411764705882,2,27,22,"German","Man","WISO Business Information Systems","5-6","BSc","1-2 years","Secondary school","In education studying","500",6,7,4,"No",13,2,12,120,1,40,0,124.6,NA,3,2,2,"roadblock",13,6,"tdmddbpq_3","27_2",1,"roadblock",50,1,0.833333333333333,3,3.115,4.59999999999999,3.5,14,4,4.33333333333333,400,408.4,10.21,640,8,1,63.8125,2.5,0,5,3,0,3,0
3,"0m90edei",27,0,142,143,"questionnaire","FinalPayoff","2026-06-09 13:35:27.016465",0,"roadblock",NA,NA,"tdmddbpq",3,0,0,0,0,0,0,0,1,NA,"Petition (0 cost to you)",2,3,2,3,2,3,3,3,1,1,77.9411764705882,2,27,22,"German","Man","WISO Business Information Systems","5-6","BSc","1-2 years","Secondary school","In education studying","500",6,7,4,"No",14,2,11,110,1,40,0,115.4,NA,3,2,2,"roadblock",14,7,"tdmddbpq_3","27_2",1,"roadblock",50,1,0.909090909090909,2.75,2.885,5.40000000000001,4,16,4,5,430,439.6,10.99,688,8,1,63.8953488372093,3,0,4.33333333333333,2.5,0,2.5,0
16,"1os08k1l",16,0,78,143,"activism","WaitForResults","2026-06-09 08:45:00.970057",0,"petition",NA,NA,"ahosr93r",16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,48.8970588235294,1,16,25,"Bulgaria","Man","Logistic Management","1-2","MSc.","1-2","BSc.","In education","775",6,7,7,"Regularly",1,2,6,60,60,45,NA,56,16,1,NA,NA,"petition",1,1,"ahosr93r_1","16_1",0,"control",NA,NA,100,1.33333333333333,1.24444444444444,-4,35,140,4,26.6666666666667,250,334,7.42222222222222,400,0,0,83.5,0,25,NA,NA,NA,NA,NA
16,"1os08k1l",16,0,78,143,"activism","WaitForResults","2026-06-09 08:45:00.970057",0,"petition",NA,NA,"ahosr93r",16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,48.8970588235294,1,16,25,"Bulgaria","Man","Logistic Management","1-2","MSc.","1-2","BSc.","In education","775",6,7,7,"Regularly",2,2,11,110,110,45,NA,88,NA,1,NA,NA,"petition",2,2,"ahosr93r_1","16_1",0,"control",NA,NA,100,2.44444444444444,1.95555555555556,-22,55,220,4,36.6666666666667,400,532,11.8222222222222,640,0,0,83.125,0,55,26.6666666666667,NA,NA,0,25
16,"1os08k1l",16,0,78,143,"activism","WaitForResults","2026-06-09 08:45:00.970057",0,"petition",NA,NA,"ahosr93r",16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,48.8970588235294,1,16,25,"Bulgaria","Man","Logistic Management","1-2","MSc.","1-2","BSc.","In education","775",6,7,7,"Regularly",3,2,8,80,80,45,NA,76,NA,1,NA,NA,"petition",3,3,"ahosr93r_1","16_1",0,"control",NA,NA,100,1.77777777777778,1.68888888888889,-4,47.5,190,4,36.6666666666667,330,444,9.86666666666667,528,0,0,84.0909090909091,0,32.5,36.6666666666667,NA,NA,0,55
16,"1os08k1l",16,0,78,143,"activism","WaitForResults","2026-06-09 08:45:00.970057",0,"petition",NA,NA,"ahosr93r",16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,48.8970588235294,1,16,25,"Bulgaria","Man","Logistic Management","1-2","MSc.","1-2","BSc.","In education","775",6,7,7,"Regularly",4,2,11,110,110,45,NA,88,NA,1,NA,NA,"petition",4,4,"ahosr93r_1","16_1",0,"control",NA,NA,100,2.44444444444444,1.95555555555556,-22,55,220,4,36.6666666666667,420,552,12.2666666666667,672,0,0,82.1428571428571,0,55,36.6666666666667,NA,NA,0,32.5
16,"1os08k1l",16,0,78,143,"activism","WaitForResults","2026-06-09 08:45:00.970057",0,"petition",NA,NA,"ahosr93r",16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,48.8970588235294,1,16,25,"Bulgaria","Man","Logistic Management","1-2","MSc.","1-2","BSc.","In education","775",6,7,7,"Regularly",5,2,12,120,120,45,NA,96,NA,1,NA,NA,"petition",5,5,"ahosr93r_1","16_1",0,"control",NA,NA,100,2.66666666666667,2.13333333333333,-24,60,240,4,40,420,564,12.5333333333333,672,0,0,83.9285714285714,0,60,36.6666666666667,NA,NA,0,55
16,"1os08k1l",16,0,78,143,"activism","WaitForResults","2026-06-09 08:45:00.970057",0,"petition",NA,NA,"ahosr93r",16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,48.8970588235294,1,16,25,"Bulgaria","Man","Logistic Management","1-2","MSc.","1-2","BSc.","In education","775",6,7,7,"Regularly",6,2,12,120,120,45,NA,112,NA,1,NA,NA,"petition",6,6,"ahosr93r_1","16_1",0,"control",NA,NA,100,2.66666666666667,2.48888888888889,-8,70,280,4,53.3333333333333,450,618,13.7333333333333,720,0,0,85.8333333333333,0,50,40,NA,NA,0,60
