session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
tdmddbpq,12,hd9e5rlc,1,activism,SeatNumber,1781012132,1,0,0
tdmddbpq,25,83aftgm4,0,,InitializeParticipant,1781012132,1,0,0
tdmddbpq,26,mdfk29n4,0,,InitializeParticipant,1781012132,1,0,0
tdmddbpq,20,re1bvtsn,1,activism,SeatNumber,1781012132,1,0,0
tdmddbpq,27,bygi6pv2,0,,InitializeParticipant,1781012132,1,0,0
tdmddbpq,9,678275og,1,activism,SeatNumber,1781012132,1,0,0
tdmddbpq,16,f6vny8d1,1,activism,SeatNumber,1781012132,1,0,0
tdmddbpq,22,nqzcesvm,1,activism,SeatNumber,1781012133,1,0,0
tdmddbpq,14,s4fdfqql,1,activism,SeatNumber,1781012133,1,0,0
tdmddbpq,23,t5bft775,1,activism,SeatNumber,1781012133,1,0,0
tdmddbpq,17,ek9i2pnl,1,activism,SeatNumber,1781012133,1,0,0
tdmddbpq,2,gl3plip3,2,activism,WaitForSeats,1781012133,1,0,1
tdmddbpq,10,84zpvizz,2,activism,WaitForSeats,1781012133,1,0,1
tdmddbpq,12,hd9e5rlc,2,activism,WaitForSeats,1781012133,1,0,1
tdmddbpq,23,t5bft775,2,activism,WaitForSeats,1781012133,1,0,1
tdmddbpq,21,amhitlg7,1,activism,SeatNumber,1781012133,1,0,0
tdmddbpq,6,hw7ddtgh,1,activism,SeatNumber,1781012134,1,0,0
tdmddbpq,24,5axkw4ic,1,activism,SeatNumber,1781012134,1,0,0
tdmddbpq,1,r6cd7e3m,2,activism,WaitForSeats,1781012134,1,0,1
tdmddbpq,6,hw7ddtgh,2,activism,WaitForSeats,1781012134,1,0,1
tdmddbpq,13,evnisgib,2,activism,WaitForSeats,1781012134,1,0,1
tdmddbpq,19,fevonr07,2,activism,WaitForSeats,1781012134,1,0,1
tdmddbpq,9,678275og,2,activism,WaitForSeats,1781012134,1,0,1
tdmddbpq,24,5axkw4ic,2,activism,WaitForSeats,1781012134,1,0,1
tdmddbpq,14,s4fdfqql,2,activism,WaitForSeats,1781012134,1,0,1
tdmddbpq,22,nqzcesvm,2,activism,WaitForSeats,1781012134,1,0,1
tdmddbpq,25,83aftgm4,1,activism,SeatNumber,1781012135,1,0,0
tdmddbpq,26,mdfk29n4,1,activism,SeatNumber,1781012136,1,0,0
tdmddbpq,3,0m90edei,1,activism,SeatNumber,1781012137,1,0,0
tdmddbpq,3,0m90edei,2,activism,WaitForSeats,1781012137,1,0,1
tdmddbpq,20,re1bvtsn,2,activism,WaitForSeats,1781012137,1,0,1
tdmddbpq,16,f6vny8d1,2,activism,WaitForSeats,1781012137,1,0,1
tdmddbpq,25,83aftgm4,2,activism,WaitForSeats,1781012137,1,0,1
tdmddbpq,28,r3xrntnr,0,,InitializeParticipant,1781012138,1,0,0
tdmddbpq,18,5f0bpqo8,1,activism,SeatNumber,1781012138,1,0,0
tdmddbpq,17,ek9i2pnl,2,activism,WaitForSeats,1781012138,1,0,1
tdmddbpq,5,omy7uxz8,2,activism,WaitForSeats,1781012138,1,0,1
tdmddbpq,8,zwt9mabo,2,activism,WaitForSeats,1781012138,1,0,1
tdmddbpq,18,5f0bpqo8,2,activism,WaitForSeats,1781012138,1,0,1
tdmddbpq,27,bygi6pv2,1,activism,SeatNumber,1781012140,1,0,0
tdmddbpq,4,mo19ix9u,2,activism,WaitForSeats,1781012140,1,0,1
tdmddbpq,7,emq43ot6,2,activism,WaitForSeats,1781012140,1,0,1
tdmddbpq,26,mdfk29n4,2,activism,WaitForSeats,1781012140,1,0,1
tdmddbpq,27,bygi6pv2,2,activism,WaitForSeats,1781012140,1,0,1
tdmddbpq,28,r3xrntnr,1,activism,SeatNumber,1781012143,1,0,0
tdmddbpq,11,5qny78h8,2,activism,WaitForSeats,1781012143,1,0,1
tdmddbpq,15,1pjntanf,2,activism,WaitForSeats,1781012143,1,0,1
tdmddbpq,21,amhitlg7,2,activism,WaitForSeats,1781012143,1,0,1
tdmddbpq,28,r3xrntnr,2,activism,WaitForSeats,1781012143,1,0,1
tdmddbpq,12,hd9e5rlc,6,activism,EffortTask,1781012178,1,1,0
tdmddbpq,23,t5bft775,6,activism,EffortTask,1781012178,1,1,0
tdmddbpq,10,84zpvizz,6,activism,EffortTask,1781012178,1,1,0
tdmddbpq,2,gl3plip3,6,activism,EffortTask,1781012178,1,1,0
tdmddbpq,6,hw7ddtgh,6,activism,EffortTask,1781012179,1,1,0
tdmddbpq,1,r6cd7e3m,6,activism,EffortTask,1781012179,1,1,0
tdmddbpq,24,5axkw4ic,6,activism,EffortTask,1781012179,1,1,0
tdmddbpq,19,fevonr07,6,activism,EffortTask,1781012179,1,1,0
tdmddbpq,13,evnisgib,6,activism,EffortTask,1781012179,1,1,0
tdmddbpq,9,678275og,6,activism,EffortTask,1781012179,1,1,0
tdmddbpq,14,s4fdfqql,6,activism,EffortTask,1781012180,1,1,0
tdmddbpq,22,nqzcesvm,6,activism,EffortTask,1781012180,1,1,0
tdmddbpq,3,0m90edei,6,activism,EffortTask,1781012182,1,1,0
tdmddbpq,20,re1bvtsn,6,activism,EffortTask,1781012182,1,1,0
tdmddbpq,25,83aftgm4,6,activism,EffortTask,1781012182,1,1,0
tdmddbpq,16,f6vny8d1,6,activism,EffortTask,1781012182,1,1,0
tdmddbpq,8,zwt9mabo,6,activism,EffortTask,1781012184,1,0,0
tdmddbpq,18,5f0bpqo8,6,activism,EffortTask,1781012184,1,1,0
tdmddbpq,5,omy7uxz8,6,activism,EffortTask,1781012184,1,1,0
tdmddbpq,17,ek9i2pnl,6,activism,EffortTask,1781012184,1,1,0
tdmddbpq,27,bygi6pv2,6,activism,EffortTask,1781012185,1,1,0
tdmddbpq,26,mdfk29n4,6,activism,EffortTask,1781012185,1,1,0
tdmddbpq,7,emq43ot6,6,activism,EffortTask,1781012185,1,1,0
tdmddbpq,4,mo19ix9u,6,activism,EffortTask,1781012185,1,1,0
tdmddbpq,28,r3xrntnr,6,activism,EffortTask,1781012188,1,1,0
tdmddbpq,21,amhitlg7,6,activism,EffortTask,1781012188,1,1,0
tdmddbpq,15,1pjntanf,6,activism,EffortTask,1781012188,1,1,0
tdmddbpq,11,5qny78h8,6,activism,EffortTask,1781012188,1,1,0
tdmddbpq,13,evnisgib,7,activism,Contribute,1781012189,1,0,0
tdmddbpq,12,hd9e5rlc,7,activism,Contribute,1781012189,1,0,0
tdmddbpq,20,re1bvtsn,7,activism,Contribute,1781012190,1,0,0
tdmddbpq,9,678275og,7,activism,Contribute,1781012190,1,0,0
tdmddbpq,10,84zpvizz,7,activism,Contribute,1781012191,1,0,0
tdmddbpq,19,fevonr07,7,activism,Contribute,1781012192,1,0,0
tdmddbpq,24,5axkw4ic,7,activism,Contribute,1781012192,1,0,0
tdmddbpq,25,83aftgm4,7,activism,Contribute,1781012193,1,0,0
tdmddbpq,16,f6vny8d1,7,activism,Contribute,1781012193,1,0,0
tdmddbpq,2,gl3plip3,7,activism,Contribute,1781012194,1,0,0
tdmddbpq,23,t5bft775,7,activism,Contribute,1781012195,1,0,0
tdmddbpq,23,t5bft775,8,activism,WaitForResults,1781012195,1,0,1
tdmddbpq,12,hd9e5rlc,8,activism,WaitForResults,1781012195,1,0,1
tdmddbpq,2,gl3plip3,8,activism,WaitForResults,1781012195,1,0,1
tdmddbpq,10,84zpvizz,8,activism,WaitForResults,1781012195,1,0,1
tdmddbpq,14,s4fdfqql,7,activism,Contribute,1781012197,1,0,0
tdmddbpq,4,mo19ix9u,7,activism,Contribute,1781012197,1,0,0
tdmddbpq,22,nqzcesvm,7,activism,Contribute,1781012197,1,0,0
tdmddbpq,14,s4fdfqql,8,activism,WaitForResults,1781012197,1,0,1
tdmddbpq,22,nqzcesvm,8,activism,WaitForResults,1781012197,1,0,1
tdmddbpq,24,5axkw4ic,8,activism,WaitForResults,1781012197,1,0,1
tdmddbpq,9,678275og,8,activism,WaitForResults,1781012197,1,0,1
tdmddbpq,6,hw7ddtgh,7,activism,Contribute,1781012198,1,0,0
tdmddbpq,7,emq43ot6,7,activism,Contribute,1781012198,1,0,0
tdmddbpq,12,hd9e5rlc,9,activism,RoundResults,1781012200,1,0,0
tdmddbpq,26,mdfk29n4,7,activism,Contribute,1781012201,1,0,0
tdmddbpq,8,zwt9mabo,7,activism,Contribute,1781012202,1,0,0
tdmddbpq,1,r6cd7e3m,7,activism,Contribute,1781012202,1,0,0
tdmddbpq,1,r6cd7e3m,8,activism,WaitForResults,1781012202,1,0,1
tdmddbpq,6,hw7ddtgh,8,activism,WaitForResults,1781012202,1,0,1
tdmddbpq,13,evnisgib,8,activism,WaitForResults,1781012202,1,0,1
tdmddbpq,19,fevonr07,8,activism,WaitForResults,1781012202,1,0,1
tdmddbpq,28,r3xrntnr,7,activism,Contribute,1781012203,1,0,0
tdmddbpq,23,t5bft775,9,activism,RoundResults,1781012203,1,0,0
tdmddbpq,24,5axkw4ic,9,activism,RoundResults,1781012204,1,0,0
tdmddbpq,2,gl3plip3,9,activism,RoundResults,1781012205,1,0,0
tdmddbpq,27,bygi6pv2,7,activism,Contribute,1781012205,1,0,0
tdmddbpq,4,mo19ix9u,8,activism,WaitForResults,1781012205,1,0,1
tdmddbpq,7,emq43ot6,8,activism,WaitForResults,1781012205,1,0,1
tdmddbpq,26,mdfk29n4,8,activism,WaitForResults,1781012205,1,0,1
tdmddbpq,27,bygi6pv2,8,activism,WaitForResults,1781012205,1,0,1
tdmddbpq,5,omy7uxz8,7,activism,Contribute,1781012206,1,0,0
tdmddbpq,22,nqzcesvm,9,activism,RoundResults,1781012206,1,0,0
tdmddbpq,11,5qny78h8,7,activism,Contribute,1781012206,1,0,0
tdmddbpq,14,s4fdfqql,9,activism,RoundResults,1781012206,1,0,0
tdmddbpq,9,678275og,9,activism,RoundResults,1781012206,1,0,0
tdmddbpq,18,5f0bpqo8,7,activism,Contribute,1781012206,1,0,0
tdmddbpq,10,84zpvizz,9,activism,RoundResults,1781012211,1,0,0
tdmddbpq,27,bygi6pv2,9,activism,RoundResults,1781012212,1,0,0
tdmddbpq,4,mo19ix9u,9,activism,RoundResults,1781012213,1,0,0
tdmddbpq,26,mdfk29n4,9,activism,RoundResults,1781012215,1,0,0
tdmddbpq,17,ek9i2pnl,7,activism,Contribute,1781012215,1,0,0
tdmddbpq,19,fevonr07,9,activism,RoundResults,1781012216,1,0,0
tdmddbpq,8,zwt9mabo,8,activism,WaitForResults,1781012216,1,0,1
tdmddbpq,17,ek9i2pnl,8,activism,WaitForResults,1781012216,1,0,1
tdmddbpq,5,omy7uxz8,8,activism,WaitForResults,1781012216,1,0,1
tdmddbpq,18,5f0bpqo8,8,activism,WaitForResults,1781012216,1,0,1
tdmddbpq,6,hw7ddtgh,9,activism,RoundResults,1781012216,1,0,0
tdmddbpq,3,0m90edei,7,activism,Contribute,1781012217,1,0,0
tdmddbpq,20,re1bvtsn,8,activism,WaitForResults,1781012217,1,0,1
tdmddbpq,3,0m90edei,8,activism,WaitForResults,1781012217,1,0,1
tdmddbpq,16,f6vny8d1,8,activism,WaitForResults,1781012217,1,0,1
tdmddbpq,25,83aftgm4,8,activism,WaitForResults,1781012217,1,0,1
tdmddbpq,7,emq43ot6,9,activism,RoundResults,1781012219,1,0,0
tdmddbpq,1,r6cd7e3m,9,activism,RoundResults,1781012220,1,0,0
